Date,Price,Open,High,Low,Vol.,Change +ACU-
11/11/2021,29277.86,29046.19,29336.03,29040.08,,0.59+ACU-
11/10/2021,29106.78,29209.06,29296.88,29079.77,,+AC0-0.61+ACU-
11/09/2021,29285.46,29557.55,29750.46,29240.31,,+AC0-0.75+ACU-
11/08/2021,29507.05,29735.45,29735.45,29507.05,,+AC0-0.35+ACU-
11/05/2021,29611.57,29840.73,29840.73,29504.07,,+AC0-0.61+ACU-
11/04/2021,29794.37,29859.74,29880.81,29718.78,,0.93+ACU-
11/02/2021,29520.9,29462.4,29599.57,29457.18,,+AC0-0.43+ACU-
11/01/2021,29647.08,29330.68,29666.83,29267.63,,2.61+ACU-
10/29/2021,28892.69,28819.16,29000.65,28475.06,,0.25+ACU-
10/28/2021,28820.09,28871.61,28895.11,28693.06,,+AC0-0.96+ACU-
10/27/2021,29098.24,29056.01,29139.22,28870.25,,+AC0-0.03+ACU-
10/26/2021,29106.01,28927.61,29160.76,28893.95,,1.77+ACU-
10/25/2021,28600.41,28527.13,28668.7,28472.55,,+AC0-0.71+ACU-
10/22/2021,28804.85,28578.53,28989.5,28546.57,,0.34+ACU-
10/21/2021,28708.58,29152.74,29220.82,28688.78,,+AC0-1.87+ACU-
10/20/2021,29255.55,29385.95,29489.11,29222.32,,0.14+ACU-
10/19/2021,29215.52,29117.28,29272.49,29075.37,,0.65+ACU-
10/18/2021,29025.46,29093.82,29144.33,28924.4,,+AC0-0.15+ACU-
10/15/2021,29068.63,28787.26,29082.35,28726.22,,1.81+ACU-
10/14/2021,28550.93,28264.41,28576.68,28234.01,,1.46+ACU-
10/13/2021,28140.28,28085.44,28364.99,27993.46,,+AC0-0.32+ACU-
10/12/2021,28230.61,28458.88,28468.88,28166.38,,+AC0-0.94+ACU-
10/11/2021,28498.2,27977.57,28581.36,27893.32,,1.60+ACU-
10/08/2021,28048.94,28031.37,28321.35,28018.89,,1.34+ACU-
10/07/2021,27678.21,27665.97,28015.11,27607.97,,0.54+ACU-
10/06/2021,27528.87,28033.91,28209.82,27293.62,,+AC0-1.05+ACU-
10/05/2021,27822.12,28050.39,28058.67,27460.29,,+AC0-2.19+ACU-
10/04/2021,28444.89,29044.47,29046.06,28343.58,,+AC0-1.13+ACU-
10/01/2021,28771.07,29235.11,29393.67,28680.73,,+AC0-2.31+ACU-
09/30/2021,29452.66,29569.19,29622.27,29311.34,,+AC0-0.31+ACU-
09/29/2021,29544.29,29611.92,29679.26,29329.16,,+AC0-2.12+ACU-
09/28/2021,30183.96,30142.38,30207.63,30001.99,,+AC0-0.19+ACU-
09/27/2021,30240.06,30277.82,30414.61,30197.4,,+AC0-0.03+ACU-
09/24/2021,30248.81,30141.61,30276.38,30110.3,,2.06+ACU-
09/22/2021,29639.4,29744.73,29868.1,29573.88,,+AC0-0.67+ACU-
09/21/2021,29839.71,30021.25,30051,29832.52,,+AC0-2.17+ACU-
09/17/2021,30500.05,30387.54,30541.99,30358.93,,0.58+ACU-
09/16/2021,30323.34,30606.15,30622.39,30202.51,,+AC0-0.62+ACU-
09/15/2021,30511.71,30464.17,30573.41,30347.3,,+AC0-0.52+ACU-
09/14/2021,30670.1,30584.77,30795.78,30504.81,,0.73+ACU-
09/13/2021,30447.37,30372.02,30447.37,30229.01,,0.22+ACU-
09/10/2021,30381.84,30089.45,30381.84,30064.02,,1.25+ACU-
09/09/2021,30008.19,29959.21,30097.56,29909.92,,+AC0-0.57+ACU-
09/08/2021,30181.21,29819.55,30241.87,29787.13,,0.89+ACU-
09/07/2021,29916.14,29883.92,30048.23,29838.43,,0.86+ACU-
09/06/2021,29659.89,29501.22,29705.04,29469.35,,1.83+ACU-
09/03/2021,29128.11,28626.48,29149.65,28607.87,,2.05+ACU-
09/02/2021,28543.51,28522.46,28626.2,28412.91,,0.33+ACU-
09/01/2021,28451.02,28179.04,28457.67,28179.04,,1.29+ACU-
